dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,93.410167,139.250000,93.410403,23.110425,-52.660981,22.068289,0.000000
0.020000,93.851724,139.250000,93.851960,22.077833,-51.629589,51.569593,0.000000
0.020000,94.273101,139.250000,94.273337,21.068842,-50.449537,59.002607,0.000000
0.020000,94.674770,139.250000,94.675006,20.083453,-49.269485,59.002607,0.000000
0.020000,95.057203,139.250000,95.057439,19.121664,-48.089432,59.002607,0.000000
0.020000,95.420873,139.250000,95.421109,18.183476,-46.909380,59.002607,0.000000
0.020000,95.766251,139.250000,95.766487,17.268890,-45.729328,59.002607,0.000000
0.020000,96.093809,139.250000,96.094045,16.377904,-44.549276,59.002607,0.000000
0.020000,96.404019,139.250000,96.404255,15.510520,-43.369224,59.002607,0.000000
0.020000,96.697354,139.250000,96.697590,14.666736,-42.189172,59.002607,0.000000
0.020000,96.974285,139.250000,96.974521,13.846554,-41.009120,59.002607,0.000000
0.020000,97.235284,139.250000,97.235520,13.049973,-39.829067,59.002607,0.000000
0.020000,97.480824,139.250000,97.481060,12.276992,-38.649015,59.002607,0.000000
0.020000,97.711376,139.250000,97.711612,11.527613,-37.468963,59.002607,0.000000
0.020000,97.927413,139.250000,97.927649,10.801835,-36.288911,59.002607,0.000000
0.020000,98.129406,139.250000,98.129642,10.099658,-35.108859,59.002607,0.000000
0.020000,98.317828,139.250000,98.318064,9.421082,-33.928807,59.002607,0.000000
0.020000,98.493150,139.250000,98.493386,8.766106,-32.748755,59.002607,0.000000
0.020000,98.655845,139.250000,98.656081,8.134732,-31.568702,59.002607,0.000000
0.020000,98.806384,139.250000,98.806620,7.526959,-30.388650,59.002607,0.000000
0.020000,98.945240,139.250000,98.945476,6.942787,-29.208598,59.002607,0.000000
0.020000,99.072884,139.250000,99.073120,6.382217,-28.028546,59.002607,0.000000
0.020000,99.189789,139.250000,99.190025,5.845247,-26.848494,59.002607,0.000000
0.020000,99.296426,139.250000,99.296662,5.331878,-25.668442,59.002607,0.000000
0.020000,99.393269,139.250000,99.393505,4.842110,-24.488390,59.002607,0.000000
0.020000,99.480787,139.250000,99.481023,4.375943,-23.308337,59.002607,0.000000
0.020000,99.559455,139.250000,99.559691,3.933378,-22.128285,59.002607,0.000000
0.020000,99.629743,139.250000,99.629979,3.514413,-20.948233,59.002607,0.000000
0.020000,99.692124,139.250000,99.692360,3.119049,-19.768181,59.002607,0.000000
0.020000,99.747070,139.250000,99.747306,2.747287,-18.588129,59.002607,0.000000
0.020000,99.795052,139.250000,99.795289,2.399125,-17.408077,59.002607,0.000000
0.020000,99.836544,139.250000,99.836780,2.074565,-16.228025,59.002607,0.000000
0.020000,99.872016,139.250000,99.872252,1.773605,-15.047972,59.002607,0.000000
0.020000,99.901941,139.250000,99.902177,1.496247,-13.867920,59.002607,0.000000
0.020000,99.926791,139.250000,99.927027,1.242489,-12.687868,59.002607,0.000000
0.020000,99.947037,139.250000,99.947273,1.012333,-11.507816,59.002607,0.000000
0.020000,99.963153,139.250000,99.963389,0.805778,-10.327764,59.002607,0.000000
0.020000,99.975609,139.250000,99.975845,0.622824,-9.147712,59.002607,0.000000
0.020000,99.984879,139.250000,99.985115,0.463470,-7.967660,59.002607,0.000000
0.020000,99.991433,139.250000,99.991669,0.327718,-6.787607,59.002607,0.000000
0.020000,99.995744,139.250000,99.995980,0.215567,-5.607555,59.002607,0.000000
0.020000,99.998285,139.250000,99.998521,0.127017,-4.427503,59.002607,0.000000
0.020000,99.999526,139.250000,99.999762,0.062068,-3.247451,59.002607,0.000000
0.020000,99.999941,139.250000,100.000177,0.020720,-2.067399,59.002607,0.000000
0.020000,100.000000,139.250000,100.000236,0.002973,-0.887347,59.002607,0.000000
0.020000,100.000000,139.250000,100.000236,0.000000,-0.148660,36.934318,0.000000
